351 	 Q0 	 FT934-4848           	 0       	 116.8261 	 RUN
351 	 Q0 	 FT944-14031          	 146     	 60.6674 	 RUN
351 	 Q0 	 FBIS4-50935          	 147     	 60.6557 	 RUN
351 	 Q0 	 FBIS4-27345          	 148     	 60.6544 	 RUN
351 	 Q0 	 FT932-15117          	 149     	 60.6418 	 RUN
351 	 Q0 	 FT922-12071          	 150     	 60.6078 	 RUN
351 	 Q0 	 FR940104-2-00026     	 151     	 60.5435 	 RUN
351 	 Q0 	 FT932-1203           	 152     	 60.5361 	 RUN
351 	 Q0 	 FT932-4022           	 153     	 60.5058 	 RUN
351 	 Q0 	 FT933-3102           	 154     	 60.5058 	 RUN
351 	 Q0 	 FT922-2188           	 155     	 60.4993 	 RUN
351 	 Q0 	 FT934-7429           	 156     	 60.3970 	 RUN
351 	 Q0 	 FT943-15503          	 157     	 60.3661 	 RUN
351 	 Q0 	 FT934-10833          	 158     	 60.3228 	 RUN
351 	 Q0 	 FR941006-0-00058     	 159     	 60.3168 	 RUN
351 	 Q0 	 FT944-18402          	 160     	 60.2837 	 RUN
351 	 Q0 	 FT911-846            	 161     	 60.2322 	 RUN
351 	 Q0 	 FT943-6372           	 162     	 60.2267 	 RUN
351 	 Q0 	 FBIS4-52400          	 163     	 60.2014 	 RUN
351 	 Q0 	 FT942-1253           	 164     	 60.1890 	 RUN
351 	 Q0 	 FBIS3-19947          	 165     	 60.1531 	 RUN
351 	 Q0 	 FT933-9214           	 166     	 60.0357 	 RUN
351 	 Q0 	 FBIS3-11935          	 167     	 59.9851 	 RUN
351 	 Q0 	 FT931-3231           	 168     	 59.9443 	 RUN
351 	 Q0 	 FT921-4997           	 169     	 59.9052 	 RUN
351 	 Q0 	 FT924-5505           	 170     	 59.9052 	 RUN
351 	 Q0 	 FR940204-2-00048     	 171     	 59.8887 	 RUN
351 	 Q0 	 FT924-14736          	 172     	 59.8707 	 RUN
351 	 Q0 	 FT933-10587          	 173     	 59.8707 	 RUN
351 	 Q0 	 FT944-13186          	 174     	 59.8707 	 RUN
351 	 Q0 	 FBIS4-44937          	 175     	 59.8707 	 RUN
351 	 Q0 	 FT941-11293          	 176     	 59.8522 	 RUN
351 	 Q0 	 FT922-5998           	 177     	 59.8198 	 RUN
351 	 Q0 	 FBIS4-49573          	 178     	 59.7421 	 RUN
351 	 Q0 	 FT932-2551           	 179     	 59.6621 	 RUN
351 	 Q0 	 LA092090-0231        	 180     	 59.4896 	 RUN
351 	 Q0 	 FT932-435            	 181     	 59.4589 	 RUN
351 	 Q0 	 FBIS4-55666          	 182     	 59.3802 	 RUN
351 	 Q0 	 LA122290-0140        	 183     	 59.3655 	 RUN
351 	 Q0 	 FT932-7492           	 184     	 59.3572 	 RUN
351 	 Q0 	 FT934-4663           	 185     	 59.3572 	 RUN
351 	 Q0 	 FT921-10927          	 186     	 59.1469 	 RUN
351 	 Q0 	 LA042490-0164        	 187     	 59.1362 	 RUN
351 	 Q0 	 LA111989-0072        	 188     	 59.0359 	 RUN
351 	 Q0 	 FR940505-2-00080     	 189     	 59.0118 	 RUN
351 	 Q0 	 FT933-11745          	 190     	 58.8964 	 RUN
351 	 Q0 	 FT923-8984           	 191     	 58.8700 	 RUN
351 	 Q0 	 FT924-11335          	 192     	 58.8631 	 RUN
351 	 Q0 	 LA072490-0119        	 193     	 58.8631 	 RUN
351 	 Q0 	 FBIS3-35759          	 194     	 58.7987 	 RUN
351 	 Q0 	 FBIS4-29744          	 195     	 58.7373 	 RUN
351 	 Q0 	 FT944-11637          	 196     	 58.7373 	 RUN
351 	 Q0 	 FT932-17195          	 197     	 58.7334 	 RUN
351 	 Q0 	 LA022790-0082        	 198     	 58.7214 	 RUN
351 	 Q0 	 FBIS3-20636          	 199     	 58.7011 	 RUN
351 	 Q0 	 FBIS4-59114          	 200     	 58.6822 	 RUN
351 	 Q0 	 FT921-14857          	 201     	 58.6635 	 RUN
351 	 Q0 	 FT941-7434           	 202     	 58.6635 	 RUN
351 	 Q0 	 FT933-3268           	 203     	 58.6605 	 RUN
351 	 Q0 	 FBIS3-45434          	 204     	 58.4941 	 RUN
351 	 Q0 	 FBIS3-2205           	 205     	 58.4914 	 RUN
351 	 Q0 	 FR940728-0-00062     	 206     	 58.4178 	 RUN
351 	 Q0 	 FT943-2837           	 207     	 58.4071 	 RUN
351 	 Q0 	 FT941-2146           	 208     	 58.4068 	 RUN
351 	 Q0 	 FT922-8799           	 209     	 58.4022 	 RUN
351 	 Q0 	 FR941125-2-00058     	 210     	 58.3814 	 RUN
351 	 Q0 	 FT942-4513           	 211     	 58.3687 	 RUN
351 	 Q0 	 LA101990-0149        	 212     	 58.3309 	 RUN
351 	 Q0 	 FBIS4-50656          	 213     	 58.2731 	 RUN
351 	 Q0 	 LA092390-0248        	 214     	 58.2120 	 RUN
351 	 Q0 	 FBIS3-10697          	 215     	 58.1462 	 RUN
351 	 Q0 	 FT924-9201           	 216     	 58.0410 	 RUN
351 	 Q0 	 FT933-1429           	 217     	 58.0410 	 RUN
351 	 Q0 	 LA121190-0163        	 218     	 58.0410 	 RUN
351 	 Q0 	 FT932-4031           	 219     	 58.0347 	 RUN
351 	 Q0 	 FT932-15911          	 220     	 58.0232 	 RUN
351 	 Q0 	 FR941219-2-00037     	 221     	 58.0065 	 RUN
351 	 Q0 	 FT924-13419          	 222     	 57.9189 	 RUN
351 	 Q0 	 FT931-3219           	 223     	 57.9029 	 RUN
351 	 Q0 	 FT934-2579           	 224     	 57.9022 	 RUN
351 	 Q0 	 FBIS4-6362           	 225     	 57.8964 	 RUN
351 	 Q0 	 FBIS4-49663          	 226     	 57.8376 	 RUN
351 	 Q0 	 FBIS4-24971          	 227     	 57.7727 	 RUN
351 	 Q0 	 FT944-8483           	 228     	 57.7726 	 RUN
351 	 Q0 	 FT934-8019           	 229     	 57.7359 	 RUN
351 	 Q0 	 FT933-9931           	 230     	 57.7359 	 RUN
351 	 Q0 	 FT934-17273          	 231     	 57.7349 	 RUN
351 	 Q0 	 FT932-2389           	 232     	 57.7281 	 RUN
351 	 Q0 	 LA082390-0203        	 233     	 57.6997 	 RUN
351 	 Q0 	 FT932-9852           	 234     	 57.6232 	 RUN
351 	 Q0 	 FR940728-0-00052     	 235     	 57.6187 	 RUN
351 	 Q0 	 FT934-7685           	 236     	 57.5988 	 RUN
351 	 Q0 	 FBIS3-55084          	 237     	 57.5268 	 RUN
351 	 Q0 	 FT941-3903           	 238     	 57.4516 	 RUN
351 	 Q0 	 FT921-1950           	 239     	 57.4281 	 RUN
351 	 Q0 	 FT931-10250          	 240     	 57.3113 	 RUN
351 	 Q0 	 FT931-15729          	 241     	 57.2808 	 RUN
351 	 Q0 	 FT943-2308           	 242     	 57.2727 	 RUN
351 	 Q0 	 FT944-15259          	 243     	 57.2350 	 RUN
351 	 Q0 	 FR940627-0-00021     	 244     	 57.2250 	 RUN
351 	 Q0 	 FT932-13937          	 245     	 57.2163 	 RUN
351 	 Q0 	 FR940728-0-00054     	 246     	 57.2113 	 RUN
351 	 Q0 	 FR940617-2-00040     	 247     	 57.1267 	 RUN
351 	 Q0 	 FT934-7430           	 248     	 57.1226 	 RUN
351 	 Q0 	 FT931-66             	 249     	 57.1049 	 RUN
351 	 Q0 	 FT921-4287           	 250     	 57.0994 	 RUN
351 	 Q0 	 FT931-8363           	 251     	 57.0994 	 RUN
351 	 Q0 	 FT931-14340          	 252     	 57.0994 	 RUN
351 	 Q0 	 FT932-14854          	 253     	 57.0994 	 RUN
351 	 Q0 	 FT933-9424           	 254     	 57.0994 	 RUN
351 	 Q0 	 FT944-6123           	 255     	 57.0994 	 RUN
351 	 Q0 	 FT944-482            	 256     	 57.0994 	 RUN
351 	 Q0 	 FT944-10449          	 257     	 57.0994 	 RUN
351 	 Q0 	 FBIS4-2819           	 258     	 57.0994 	 RUN
351 	 Q0 	 LA081590-0033        	 259     	 57.0965 	 RUN
351 	 Q0 	 FR941025-2-00083     	 260     	 57.0630 	 RUN
351 	 Q0 	 FT921-4082           	 261     	 56.9964 	 RUN
351 	 Q0 	 FT931-13833          	 262     	 56.9909 	 RUN
351 	 Q0 	 FT944-17753          	 263     	 56.9454 	 RUN
351 	 Q0 	 FT933-14032          	 264     	 56.8930 	 RUN
351 	 Q0 	 FBIS3-20871          	 265     	 56.8638 	 RUN
351 	 Q0 	 FT934-5187           	 266     	 56.8436 	 RUN
351 	 Q0 	 FT931-6308           	 267     	 56.7562 	 RUN
351 	 Q0 	 FT932-1907           	 268     	 56.7471 	 RUN
351 	 Q0 	 FT942-3986           	 269     	 56.7343 	 RUN
351 	 Q0 	 FR940304-0-00120     	 270     	 56.7219 	 RUN
351 	 Q0 	 FT931-900            	 271     	 56.6955 	 RUN
351 	 Q0 	 FT931-701            	 272     	 56.6853 	 RUN
351 	 Q0 	 FT942-9957           	 273     	 56.6055 	 RUN
351 	 Q0 	 FBIS4-50547          	 274     	 56.5770 	 RUN
351 	 Q0 	 FBIS4-53380          	 275     	 56.5770 	 RUN
351 	 Q0 	 FBIS3-33601          	 276     	 56.5260 	 RUN
351 	 Q0 	 FT922-14255          	 277     	 56.5203 	 RUN
351 	 Q0 	 FT942-14672          	 278     	 56.4885 	 RUN
351 	 Q0 	 FT942-14073          	 279     	 56.2879 	 RUN
351 	 Q0 	 FBIS3-20632          	 280     	 56.0655 	 RUN
351 	 Q0 	 FR940412-0-00010     	 281     	 56.0566 	 RUN
351 	 Q0 	 FT923-1236           	 282     	 56.0221 	 RUN
351 	 Q0 	 FBIS4-29333          	 283     	 55.9918 	 RUN
351 	 Q0 	 FBIS4-56741          	 284     	 55.9872 	 RUN
351 	 Q0 	 FT911-1098           	 285     	 55.9727 	 RUN
351 	 Q0 	 FBIS4-52240          	 286     	 55.9443 	 RUN
351 	 Q0 	 FT922-8363           	 287     	 55.9347 	 RUN
351 	 Q0 	 FT911-1611           	 288     	 55.8959 	 RUN
351 	 Q0 	 FT931-4422           	 289     	 55.8959 	 RUN
351 	 Q0 	 FBIS3-29884          	 290     	 55.8959 	 RUN
351 	 Q0 	 FBIS3-33035          	 291     	 55.8955 	 RUN
351 	 Q0 	 FT924-4574           	 292     	 55.8586 	 RUN
351 	 Q0 	 FT942-13792          	 293     	 55.7980 	 RUN
351 	 Q0 	 FT911-3327           	 294     	 55.7775 	 RUN
351 	 Q0 	 FT921-1763           	 295     	 55.7663 	 RUN
351 	 Q0 	 FT924-1814           	 296     	 55.7663 	 RUN
351 	 Q0 	 FT944-4594           	 297     	 55.7663 	 RUN
351 	 Q0 	 FT944-7681           	 298     	 55.7663 	 RUN
351 	 Q0 	 FT944-7905           	 299     	 55.7663 	 RUN
351 	 Q0 	 FT944-9196           	 300     	 55.7663 	 RUN
351 	 Q0 	 FT942-5431           	 301     	 55.7663 	 RUN
351 	 Q0 	 FT943-10676          	 302     	 55.7663 	 RUN
351 	 Q0 	 FT941-2147           	 303     	 55.7663 	 RUN
351 	 Q0 	 FT942-13349          	 304     	 55.6843 	 RUN
351 	 Q0 	 FT932-15915          	 305     	 55.6304 	 RUN
351 	 Q0 	 FT931-2746           	 306     	 55.6293 	 RUN
351 	 Q0 	 FT923-2456           	 307     	 55.6027 	 RUN
351 	 Q0 	 FT922-10285          	 308     	 55.5908 	 RUN
351 	 Q0 	 FR941020-0-00022     	 309     	 55.5795 	 RUN
351 	 Q0 	 FR940627-0-00045     	 310     	 55.5795 	 RUN
351 	 Q0 	 FBIS4-53276          	 311     	 55.5753 	 RUN
351 	 Q0 	 LA080390-0065        	 312     	 55.5481 	 RUN
351 	 Q0 	 FT944-7864           	 313     	 55.5397 	 RUN
351 	 Q0 	 LA081189-0046        	 314     	 55.4792 	 RUN
351 	 Q0 	 FBIS4-51224          	 315     	 55.4773 	 RUN
351 	 Q0 	 FT934-16390          	 316     	 55.4668 	 RUN
351 	 Q0 	 FT933-15707          	 317     	 55.3703 	 RUN
351 	 Q0 	 FBIS3-58443          	 318     	 55.3201 	 RUN
351 	 Q0 	 FR940728-0-00057     	 319     	 55.2882 	 RUN
351 	 Q0 	 LA052290-0134        	 320     	 55.2819 	 RUN
351 	 Q0 	 FT921-15124          	 321     	 55.2719 	 RUN
351 	 Q0 	 FT922-14034          	 322     	 55.2719 	 RUN
351 	 Q0 	 FT923-15325          	 323     	 55.2719 	 RUN
351 	 Q0 	 FT931-3057           	 324     	 55.2719 	 RUN
351 	 Q0 	 FT932-1598           	 325     	 55.2719 	 RUN
351 	 Q0 	 FT933-14678          	 326     	 55.2719 	 RUN
351 	 Q0 	 FT921-11479          	 327     	 55.2706 	 RUN
351 	 Q0 	 FT932-6221           	 328     	 55.2706 	 RUN
351 	 Q0 	 FBIS3-4617           	 329     	 55.2706 	 RUN
351 	 Q0 	 FBIS3-6828           	 330     	 55.2706 	 RUN
351 	 Q0 	 FT944-4211           	 331     	 55.2706 	 RUN
351 	 Q0 	 LA011790-0137        	 332     	 55.2706 	 RUN
351 	 Q0 	 FT933-13929          	 333     	 55.2672 	 RUN
351 	 Q0 	 FT932-17061          	 334     	 55.2531 	 RUN
351 	 Q0 	 FT941-6551           	 335     	 55.2531 	 RUN
351 	 Q0 	 FT942-12894          	 336     	 55.2462 	 RUN
351 	 Q0 	 FT932-9857           	 337     	 55.2229 	 RUN
351 	 Q0 	 FBIS4-52957          	 338     	 55.2213 	 RUN
351 	 Q0 	 FT943-12561          	 339     	 55.2211 	 RUN
351 	 Q0 	 FT933-5360           	 340     	 55.1299 	 RUN
351 	 Q0 	 FT922-10155          	 341     	 55.1281 	 RUN
351 	 Q0 	 FT911-348            	 342     	 55.1264 	 RUN
351 	 Q0 	 FT931-1972           	 343     	 55.1264 	 RUN
351 	 Q0 	 FT931-2330           	 344     	 55.1264 	 RUN
351 	 Q0 	 FBIS4-64948          	 345     	 55.1264 	 RUN
351 	 Q0 	 FT932-9595           	 346     	 55.1262 	 RUN
351 	 Q0 	 FR940511-2-00005     	 347     	 55.1254 	 RUN
351 	 Q0 	 FT923-4197           	 348     	 55.0066 	 RUN
351 	 Q0 	 FT921-10105          	 349     	 54.9738 	 RUN
351 	 Q0 	 FT934-11616          	 350     	 54.9649 	 RUN
351 	 Q0 	 FT932-11311          	 351     	 54.9649 	 RUN
351 	 Q0 	 FT932-16934          	 352     	 54.9649 	 RUN
351 	 Q0 	 FT933-2620           	 353     	 54.9649 	 RUN
351 	 Q0 	 FBIS3-11364          	 354     	 54.9649 	 RUN
351 	 Q0 	 FT943-11222          	 355     	 54.9649 	 RUN
351 	 Q0 	 LA082989-0082        	 356     	 54.9649 	 RUN
351 	 Q0 	 FT944-4341           	 357     	 54.9532 	 RUN
351 	 Q0 	 FT933-14767          	 358     	 54.9506 	 RUN
351 	 Q0 	 FR941219-2-00036     	 359     	 54.9291 	 RUN
351 	 Q0 	 FR940812-2-00049     	 360     	 54.8338 	 RUN
351 	 Q0 	 FT932-16857          	 361     	 54.8001 	 RUN
351 	 Q0 	 FT941-9253           	 362     	 54.7989 	 RUN
351 	 Q0 	 FR940728-0-00051     	 363     	 54.6249 	 RUN
351 	 Q0 	 FT931-1331           	 364     	 54.4857 	 RUN
351 	 Q0 	 FT931-1493           	 365     	 54.4857 	 RUN
351 	 Q0 	 FBIS3-24964          	 366     	 54.4808 	 RUN
351 	 Q0 	 FT934-12528          	 367     	 54.4774 	 RUN
351 	 Q0 	 FR941219-2-00038     	 368     	 54.4731 	 RUN
351 	 Q0 	 FT933-1251           	 369     	 54.4384 	 RUN
351 	 Q0 	 FT932-3893           	 370     	 54.4047 	 RUN
351 	 Q0 	 FT943-13143          	 371     	 54.3664 	 RUN
351 	 Q0 	 FBIS3-46294          	 372     	 54.2954 	 RUN
351 	 Q0 	 FT933-292            	 373     	 54.1211 	 RUN
351 	 Q0 	 FT941-12953          	 374     	 54.1088 	 RUN
351 	 Q0 	 FT943-2906           	 375     	 54.0555 	 RUN
351 	 Q0 	 FT931-8577           	 376     	 54.0530 	 RUN
351 	 Q0 	 FT944-9398           	 377     	 54.0505 	 RUN
351 	 Q0 	 FT923-12334          	 378     	 54.0055 	 RUN
351 	 Q0 	 FT934-2581           	 379     	 53.9975 	 RUN
351 	 Q0 	 FT942-7548           	 380     	 53.9952 	 RUN
351 	 Q0 	 FT921-2495           	 381     	 53.9797 	 RUN
351 	 Q0 	 FT923-15447          	 382     	 53.9797 	 RUN
351 	 Q0 	 FT931-962            	 383     	 53.9797 	 RUN
351 	 Q0 	 FT941-2863           	 384     	 53.9309 	 RUN
351 	 Q0 	 FBIS4-3639           	 385     	 53.9283 	 RUN
351 	 Q0 	 FT933-3146           	 386     	 53.9254 	 RUN
351 	 Q0 	 FT941-3065           	 387     	 53.9028 	 RUN
351 	 Q0 	 FT943-9547           	 388     	 53.8604 	 RUN
351 	 Q0 	 FT933-4575           	 389     	 53.7191 	 RUN
351 	 Q0 	 FBIS4-50410          	 390     	 53.7106 	 RUN
351 	 Q0 	 FBIS4-50657          	 391     	 53.6949 	 RUN
351 	 Q0 	 FBIS4-24664          	 392     	 53.6728 	 RUN
351 	 Q0 	 FT933-12469          	 393     	 53.6492 	 RUN
351 	 Q0 	 FT933-15344          	 394     	 53.6293 	 RUN
351 	 Q0 	 FT932-10055          	 395     	 53.5791 	 RUN
351 	 Q0 	 FT942-5164           	 396     	 53.5556 	 RUN
351 	 Q0 	 FR940505-2-00030     	 397     	 53.4543 	 RUN
351 	 Q0 	 FT923-12271          	 398     	 53.4307 	 RUN
351 	 Q0 	 FR940719-0-00045     	 399     	 53.4231 	 RUN
351 	 Q0 	 FBIS3-1636           	 400     	 53.4132 	 RUN
351 	 Q0 	 LA122489-0057        	 401     	 53.4028 	 RUN
351 	 Q0 	 FBIS3-51909          	 402     	 53.3235 	 RUN
